airport_code,airport_name,city,country,timezone,latitude,longitude
AP001,West Donald Intl Airport,West Donald,Christmas Island,Europe/Warsaw,25.537342,63.05728
AP002,Lake Michelleshire Intl Airport,Lake Michelleshire,Sudan,America/Guayaquil,67.984467,138.094037
AP003,New Daleberg Intl Airport,New Daleberg,Liechtenstein,Asia/Choibalsan,87.340423,-112.667255
AP004,Sandersland Intl Airport,Sandersland,Guinea-Bissau,Asia/Kuala_Lumpur,-84.285335,96.735471
AP005,North Ericbury Intl Airport,North Ericbury,Chad,Indian/Mauritius,-24.026003,-120.407982
AP006,New Dana Intl Airport,New Dana,Latvia,Africa/Sao_Tome,-13.993602,102.702761
AP007,East Jose Intl Airport,East Jose,Ireland,America/Panama,-70.066735,137.203559
AP008,Montoyafort Intl Airport,Montoyafort,United Kingdom,Europe/Berlin,71.17398,-137.157996
AP009,Rodriguezville Intl Airport,Rodriguezville,Samoa,Europe/Sofia,-11.45127,157.825572
AP010,Millerburgh Intl Airport,Millerburgh,Estonia,America/Lima,-48.638222,-67.952477
AP011,South Michellefurt Intl Airport,South Michellefurt,Ghana,Europe/London,6.275774,18.249108
AP012,Sheppardside Intl Airport,Sheppardside,Pakistan,Europe/Chisinau,69.957658,145.901703
AP013,Shawnbury Intl Airport,Shawnbury,Isle of Man,Europe/Riga,-8.544269,47.415349
AP014,Lake Erinmouth Intl Airport,Lake Erinmouth,Svalbard & Jan Mayen Islands,Asia/Kuwait,47.472172,102.020289
AP015,Butlermouth Intl Airport,Butlermouth,Hungary,Asia/Calcutta,11.10063,-3.382983
AP016,Juliastad Intl Airport,Juliastad,Liberia,America/Paramaribo,-52.929,-86.283611
AP017,Ivanburgh Intl Airport,Ivanburgh,Jersey,America/Nassau,59.967138,82.30875
AP018,Princechester Intl Airport,Princechester,Mauritius,America/Santo_Domingo,-11.160542,167.88313
AP019,South Tara Intl Airport,South Tara,Kenya,Australia/Currie,83.336343,177.810893
AP020,Jeremystad Intl Airport,Jeremystad,Senegal,Indian/Mauritius,44.59189,-33.461767
AP021,South Stephen Intl Airport,South Stephen,Micronesia,Europe/Minsk,60.815875,-136.423815
AP022,Lake David Intl Airport,Lake David,Ghana,America/El_Salvador,13.990906,-91.884902
AP023,West Jamesberg Intl Airport,West Jamesberg,Syrian Arab Republic,Pacific/Port_Moresby,69.567722,164.885154
AP024,Bauerstad Intl Airport,Bauerstad,Germany,Africa/Monrovia,-66.324239,-108.791627
AP025,East Amy Intl Airport,East Amy,Palestinian Territory,Asia/Manila,23.6878,71.325471
AP026,Youngmouth Intl Airport,Youngmouth,Norway,America/Yakutat,37.319103,5.529894
AP027,North Joshuaview Intl Airport,North Joshuaview,Tonga,Europe/Helsinki,18.088898,-47.66393
AP028,East Erica Intl Airport,East Erica,Azerbaijan,Asia/Ashgabat,-0.123132,175.105923
AP029,Thompsonfurt Intl Airport,Thompsonfurt,Korea,Europe/Amsterdam,-44.839946,-5.895963
AP030,Hansonmouth Intl Airport,Hansonmouth,Cayman Islands,Pacific/Nauru,-40.948997,-8.193358
AP031,North Steven Intl Airport,North Steven,India,Asia/Tokyo,64.356042,165.562915
AP032,Hernandezfort Intl Airport,Hernandezfort,Saint Martin,Asia/Amman,-57.510236,107.768106
AP033,Blackfort Intl Airport,Blackfort,Jordan,Asia/Jayapura,48.834652,107.744322
AP034,Lake Phillipmouth Intl Airport,Lake Phillipmouth,Albania,Europe/Bucharest,11.271,-48.279077
AP035,Duncanborough Intl Airport,Duncanborough,Togo,Europe/Paris,-49.446995,103.104121
AP036,South Briannaborough Intl Airport,South Briannaborough,Guinea-Bissau,Asia/Beirut,-87.393019,116.166472
AP037,South Alyssaside Intl Airport,South Alyssaside,New Zealand,Asia/Beirut,-60.253453,117.626926
