event_id,flight_id,event_time_utc,status,note
E00000001,F0004193,2026-01-10T16:38:33.956093,Scheduled,Security check
E00000002,F0004193,2026-01-09T18:38:33.956093,Scheduled,Security check
E00000003,F0019025,2026-01-31T11:38:33.956093,Delayed,Weather at origin
E00000004,F0019025,2026-02-01T22:38:33.956093,Scheduled,Crew late
E00000005,F0001492,2026-02-02T18:38:33.956093,Cancelled,ATC delay
E00000006,F0001492,2026-02-04T06:38:33.956093,Delayed,Weather at origin
E00000007,F0001492,2026-02-03T08:38:33.956093,Scheduled,Crew late
E00000008,F0005500,2025-08-16T15:38:33.956093,Cancelled,ATC delay
E00000009,F0005500,2025-08-17T14:38:33.956093,Delayed,Tech issue
E00000010,F0005500,2025-08-15T16:38:33.956093,Cancelled,Security check
E00000011,F0006293,2025-12-10T05:38:33.956093,Diverted,Weather at origin
E00000012,F0006293,2025-12-09T04:38:33.956093,Delayed,Weather at origin
E00000013,F0006293,2025-12-08T15:38:33.956093,On Time,
E00000014,F0010205,2025-11-12T17:38:33.956093,Scheduled,Security check
E00000015,F0010205,2025-11-15T10:38:33.956093,Delayed,Tech issue
E00000016,F0001275,2025-12-13T12:38:33.956093,Cancelled,Weather at origin
E00000017,F0001275,2025-12-13T12:38:33.956093,Scheduled,Tech issue
E00000018,F0001275,2025-12-13T12:38:33.956093,On Time,
E00000019,F0010927,2025-08-24T10:38:33.956093,Delayed,Tech issue
E00000020,F0010927,2025-08-24T03:38:33.956093,Scheduled,Tech issue
E00000021,F0010927,2025-08-25T05:38:33.956093,On Time,
E00000022,F0019826,2025-12-01T20:38:33.956093,Diverted,Crew late
E00000023,F0019826,2025-12-02T14:38:33.956093,On Time,
E00000024,F0016275,2025-10-29T00:38:33.956093,Cancelled,Weather at origin
E00000025,F0016275,2025-10-27T19:38:33.956093,Diverted,Weather at origin
E00000026,F0008603,2025-09-09T12:38:33.956093,Delayed,Tech issue
E00000027,F0008603,2025-09-10T07:38:33.956093,Delayed,ATC delay
E00000028,F0008603,2025-09-10T06:38:33.956093,On Time,
E00000029,F0013540,2026-01-04T16:38:33.956093,Scheduled,Security check
E00000030,F0013540,2026-01-05T03:38:33.956093,Cancelled,Weather at origin
E00000031,F0008330,2025-09-30T23:38:33.956093,Cancelled,Tech issue
E00000032,F0004375,2025-08-26T00:38:33.956093,Diverted,Weather at origin
E00000033,F0004375,2025-08-26T11:38:33.956093,Scheduled,ATC delay
E00000034,F0015458,2026-01-14T22:38:33.958259,Scheduled,Weather at origin
E00000035,F0013595,2025-09-10T09:38:33.958259,Cancelled,Security check
E00000036,F0013595,2025-09-12T04:38:33.958259,Cancelled,Crew late
E00000037,F0013595,2025-09-10T13:38:33.958259,Diverted,Weather at origin
E00000038,F0001998,2025-08-14T15:38:33.958259,On Time,
E00000039,F0001998,2025-08-17T09:38:33.958259,Diverted,Weather at origin
E00000040,F0001998,2025-08-16T03:38:33.958259,On Time,
E00000041,F0017137,2025-12-30T14:38:33.958259,Cancelled,ATC delay
E00000042,F0017137,2025-12-29T23:38:33.958259,Scheduled,Security check
E00000043,F0016208,2025-09-09T04:38:33.958259,On Time,
E00000044,F0017242,2025-08-11T11:38:33.958259,Cancelled,Weather at origin
E00000045,F0017242,2025-08-13T04:38:33.958259,Diverted,ATC delay
E00000046,F0017242,2025-08-11T12:38:33.958259,Delayed,Security check
E00000047,F0003291,2025-10-08T03:38:33.958259,Diverted,Security check
E00000048,F0003291,2025-10-07T10:38:33.958259,On Time,
E00000049,F0002833,2025-09-21T02:38:33.958259,Diverted,Security check
E00000050,F0002833,2025-09-20T23:38:33.958259,Delayed,Weather at origin
E00000051,F0017334,2026-01-20T14:38:33.958259,On Time,
E00000052,F0019504,2026-01-06T00:38:33.958259,Diverted,Tech issue
E00000053,F0019504,2026-01-05T15:38:33.958259,On Time,
E00000054,F0016680,2025-11-20T18:38:33.958259,Delayed,Tech issue
E00000055,F0016680,2025-11-21T10:38:33.958259,Diverted,Weather at origin
E00000056,F0016680,2025-11-21T14:38:33.958259,Delayed,Security check
E00000057,F0016319,2025-11-15T02:38:33.958259,Delayed,Crew late
E00000058,F0016319,2025-11-17T07:38:33.958259,Delayed,Crew late
E00000059,F0015481,2026-01-16T23:38:33.958259,Diverted,Tech issue
E00000060,F0015481,2026-01-17T08:38:33.958259,Scheduled,Tech issue
E00000061,F0014470,2026-01-26T01:38:33.958259,On Time,
E00000062,F0014470,2026-01-25T10:38:33.958259,On Time,
E00000063,F0008291,2025-09-16T14:38:33.958259,Cancelled,ATC delay
E00000064,F0008291,2025-09-17T15:38:33.958259,Scheduled,ATC delay
E00000065,F0001329,2026-02-04T21:38:33.958259,Cancelled,ATC delay
E00000066,F0001329,2026-02-03T18:38:33.958259,Delayed,ATC delay
E00000067,F0001329,2026-02-04T23:38:33.958259,Delayed,Weather at origin
E00000068,F0008490,2025-08-19T17:38:33.958259,Scheduled,Security check
E00000069,F0011260,2025-12-18T21:38:33.958259,Delayed,ATC delay
E00000070,F0011260,2025-12-20T06:38:33.958259,Diverted,Weather at origin
E00000071,F0019335,2025-10-03T09:38:33.958259,Cancelled,Security check
E00000072,F0019335,2025-10-04T04:38:33.958259,Delayed,Weather at origin
E00000073,F0019335,2025-10-01T17:38:33.958259,Diverted,Tech issue
