flight_id,airline,flight_number,origin_airport,destination_airport,departure_time_utc,arrival_time_utc,aircraft_type,distance_km,stops,layover_airports,flight_type,status,delay_minutes,delay_cause,scheduled_duration_min
F0000001,IndiGo,IN4473,AP042,AP288,2025-12-22T19:08:32.499014,2025-12-23T06:13:32.499014,B737-800,6461,0,,Non-stop,On Time,,,665
F0000002,Lufthansa,LU5576,AP004,AP107,2026-01-12T01:53:32.500526,2026-01-12T12:27:32.500526,B737-800,6325,1,AP172,One-stop,On Time,,,634
F0000003,Vistara,VI5408,AP222,AP003,2025-11-30T17:08:32.500526,2025-11-30T22:21:32.500526,B777-300ER,4493,0,,Non-stop,On Time,,,313
F0000004,Qatar Airways,QA5713,AP040,AP181,2025-12-13T16:38:32.500526,2025-12-14T08:24:32.500526,B787,12237,0,,Non-stop,Cancelled,,Crew,946
F0000005,United,UN5358,AP132,AP243,2025-10-23T04:08:32.500526,2025-10-23T20:51:32.500526,A350,12534,0,,Non-stop,On Time,,,1003
F0000006,Singapore Airlines,SI7124,AP074,AP158,2025-10-06T05:23:32.500526,2025-10-06T21:42:32.500526,A320,10665,0,,Non-stop,Diverted,70,Weather,979
F0000007,Lufthansa,LU4969,AP296,AP124,2025-12-01T00:23:32.500526,2025-12-01T03:19:32.500526,A350,1269,0,,Non-stop,On Time,,,176
F0000008,IndiGo,IN2891,AP137,AP260,2026-01-29T07:53:32.500526,2026-01-30T02:11:32.500526,B787,13599,0,,Non-stop,Delayed,73,Other,1098
F0000009,Emirates,EM7826,AP058,AP045,2026-01-27T19:38:32.500526,2026-01-28T10:04:32.500526,A321neo,9953,0,,Non-stop,On Time,,,866
F0000010,Air India,AI2999,AP072,AP122,2025-08-28T18:53:32.500526,2025-08-29T06:46:32.500526,A350,7512,0,,Non-stop,On Time,,,713
F0000011,Emirates,EM1191,AP051,AP278,2025-09-10T14:53:32.500526,2025-09-10T17:58:32.500526,A350,3040,1,AP083,One-stop,On Time,,,185
F0000012,Lufthansa,LU4328,AP032,AP044,2025-11-17T00:08:32.500526,2025-11-17T14:10:32.500526,B737-800,10727,1,AP128,One-stop,On Time,,,842
F0000013,Air India,AI8558,AP044,AP190,2026-01-20T08:08:32.500526,2026-01-20T21:12:32.500526,ATR72,8303,1,AP063,One-stop,On Time,,,784
F0000014,Emirates,EM8715,AP013,AP235,2025-09-23T16:23:32.500526,2025-09-24T01:20:32.500526,B777-300ER,5817,0,,Non-stop,On Time,,,537
F0000015,IndiGo,IN7444,AP258,AP252,2025-11-30T20:08:32.500526,2025-12-01T09:31:32.500526,A320,9086,0,,Non-stop,Delayed,126,Crew,803
F0000016,Lufthansa,LU2905,AP053,AP006,2026-01-01T14:23:32.500526,2026-01-01T20:12:32.500526,ATR72,1731,0,,Non-stop,On Time,,,349
F0000017,Emirates,EM8199,AP064,AP272,2025-11-27T22:08:32.500526,2025-11-28T06:01:32.500526,A320,3235,0,,Non-stop,On Time,,,473
F0000018,Singapore Airlines,SI3171,AP058,AP051,2025-09-13T17:53:32.500526,2025-09-14T00:04:32.500526,A320,4936,0,,Non-stop,On Time,,,371
F0000019,United,UN7131,AP293,AP005,2025-11-25T12:38:32.500526,2025-11-25T17:37:32.500526,B777-300ER,1126,0,,Non-stop,On Time,,,299
F0000020,SpiceJet,SP1545,AP198,AP278,2025-08-12T20:08:32.500526,2025-08-13T12:55:32.500526,B777-300ER,12105,0,,Non-stop,On Time,,,1007
F0000021,Delta,DE6776,AP214,AP042,2026-01-02T11:53:32.500526,2026-01-02T14:34:32.500526,B787,1887,0,,Non-stop,On Time,,,161
F0000022,Lufthansa,LU7165,AP079,AP281,2025-11-21T09:38:32.500526,2025-11-21T17:09:32.500526,A321neo,5518,1,AP024,One-stop,On Time,,,451
F0000023,IndiGo,IN6996,AP234,AP112,2025-08-11T16:38:32.500526,2025-08-12T01:44:32.500526,B787,5280,1,AP053,One-stop,On Time,,,546
F0000024,Cathay,CA9167,AP096,AP150,2025-10-22T07:38:32.500526,2025-10-23T00:57:32.500526,A320,11491,0,,Non-stop,Delayed,432,ATC,1039
F0000025,United,UN8766,AP022,AP004,2025-11-21T21:08:32.500526,2025-11-22T15:12:32.500526,B787,13275,0,,Non-stop,On Time,,,1084
F0000026,Vistara,VI9159,AP012,AP024,2026-02-05T14:23:32.500526,2026-02-06T04:43:32.500526,A320,9898,0,,Non-stop,On Time,,,860
F0000027,Qatar Airways,QA864,AP258,AP071,2025-08-26T09:08:32.500526,2025-08-27T02:10:32.500526,A320,12925,0,,Non-stop,Delayed,30,Crew,1022
F0000028,Delta,DE1868,AP133,AP189,2025-08-26T20:08:32.500526,2025-08-27T07:08:32.500526,A350,7745,1,AP160,One-stop,On Time,,,660
F0000029,IndiGo,IN5119,AP263,AP102,2026-01-14T22:23:32.502537,2026-01-15T09:29:32.502537,B777-300ER,6634,1,AP206,One-stop,On Time,,,666
F0000030,Vistara,VI2986,AP285,AP021,2025-12-26T11:23:32.502537,2025-12-26T22:22:32.502537,B737-800,7890,1,AP055,One-stop,On Time,,,659
F0000031,Singapore Airlines,SI2409,AP103,AP215,2025-10-03T12:38:32.502537,2025-10-03T15:38:32.502537,B737-800,1243,1,AP258,One-stop,On Time,,,180
F0000032,Singapore Airlines,SI5155,AP292,AP045,2026-01-30T00:53:32.502537,2026-01-30T18:52:32.502537,A350,11325,2,AP258;AP011,Two-stops,On Time,,,1079
F0000033,GoAir,GO2157,AP241,AP104,2026-01-12T14:08:32.502537,2026-01-13T03:26:32.502537,A321neo,10201,0,,Non-stop,Delayed,204,Weather,798
F0000034,Delta,DE7786,AP073,AP230,2025-10-26T03:08:32.502537,2025-10-26T19:55:32.502537,A321neo,11188,0,,Non-stop,On Time,,,1007
F0000035,Cathay,CA7289,AP186,AP030,2025-09-11T21:53:32.502537,2025-09-12T08:02:32.502537,A350,7823,1,AP233,One-stop,On Time,,,609
F0000036,Air India,AI933,AP044,AP112,2025-09-20T12:08:32.502537,2025-09-20T22:50:32.502537,ATR72,7073,1,AP045,One-stop,On Time,,,642
F0000037,United,UN8256,AP241,AP018,2025-08-31T19:23:32.502537,2025-09-01T07:38:32.502537,A321neo,8828,0,,Non-stop,On Time,,,735
F0000038,Air India,AI5745,AP121,AP100,2025-11-16T16:38:32.502537,2025-11-17T06:24:32.502537,B787,9851,0,,Non-stop,On Time,,,826
F0000039,SpiceJet,SP3012,AP283,AP039,2025-08-20T21:53:32.502537,2025-08-21T03:03:32.502537,B787,3564,0,,Non-stop,On Time,,,310
F0000040,Lufthansa,LU149,AP215,AP233,2025-12-05T06:53:32.502537,2025-12-05T16:25:32.502537,A320,4968,2,AP270;AP276,Two-stops,Delayed,180,Weather,572
F0000041,SpiceJet,SP9252,AP248,AP167,2025-09-18T04:23:32.502537,2025-09-18T23:02:32.502537,B737-800,13322,1,AP226,One-stop,On Time,,,1119
F0000042,Emirates,EM4002,AP029,AP056,2025-10-27T05:38:32.502537,2025-10-27T18:40:32.502537,A350,9797,0,,Non-stop,On Time,,,782
F0000043,United,UN9818,AP120,AP200,2025-08-21T15:23:32.502537,2025-08-22T00:26:32.502537,A321neo,5603,0,,Non-stop,On Time,,,543
F0000044,GoAir,GO1875,AP234,AP088,2026-01-15T14:08:32.502537,2026-01-15T16:41:32.502537,B777-300ER,606,0,,Non-stop,On Time,,,153
F0000045,Delta,DE6773,AP201,AP239,2026-01-30T11:08:32.502537,2026-01-30T22:32:32.502537,A350,6730,1,AP173,One-stop,On Time,,,684
F0000046,GoAir,GO1652,AP227,AP076,2025-12-12T06:23:32.502537,2025-12-12T08:36:32.502537,B777-300ER,1446,0,,Non-stop,On Time,,,133
F0000047,Air India,AI9312,AP249,AP115,2026-01-10T19:38:32.502537,2026-01-10T21:07:32.502537,A321neo,272,1,AP189,One-stop,On Time,,,89
F0000048,Air India,AI4523,AP161,AP227,2025-12-10T17:53:32.502537,2025-12-11T08:05:32.502537,B737-800,10476,0,,Non-stop,On Time,,,852
F0000049,Lufthansa,LU685,AP030,AP295,2025-09-18T04:53:32.502537,2025-09-18T15:59:32.502537,A350,7538,0,,Non-stop,Cancelled,,Security,666
F0000050,GoAir,GO7871,AP192,AP071,2025-12-22T06:53:32.502537,2025-12-23T01:58:32.502537,A320,13366,0,,Non-stop,On Time,,,1145
